,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,156,0870,THEFT,POCKET-PICKING,STREET,False,False,1.0,2010.0,10,4,12
1,137,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2006.0,7,20,13
2,146,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1.0,2009.0,6,18,14
3,239,0810,THEFT,OVER $500,STREET,False,False,1.0,2008.0,4,4,15
4,43,0460,BATTERY,SIMPLE,OTHER,False,False,1.0,2008.0,2,11,15
5,252,0820,THEFT,$500 AND UNDER,STREET,False,False,1.0,2001.0,10,31,19
6,104,1330,CRIMINAL TRESPASS,TO LAND,STREET,True,False,1.0,2009.0,9,9,20
7,8645,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1.0,2006.0,5,25,13
8,21,0820,THEFT,$500 AND UNDER,STREET,False,False,1.0,2010.0,1,18,21
9,31,0820,THEFT,$500 AND UNDER,STREET,False,False,1.0,2003.0,11,25,12
