,0,1,2,3,4,5,6,7,8,9,10,11
0,252,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,17.0,2001.0,1,27,9
1,922,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2.0,2001.0,1,16,17
2,25,0460,BATTERY,SIMPLE,RESIDENCE,False,False,7.0,2001.0,9,17,12
3,326,0460,BATTERY,SIMPLE,STREET,False,False,11.0,2001.0,6,9,21
4,472,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,8.0,2001.0,2,5,22
5,1188,1506,NARCOTICS,SOLICIT ON PUBLIC WAY,STREET,True,False,2.0,2001.0,2,27,20
6,6,0460,BATTERY,SIMPLE,RESIDENCE,True,True,11.0,2001.0,2,18,1
7,305,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,4.0,2001.0,8,25,12
8,254,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,False,False,5.0,2001.0,3,4,19
9,260,0460,BATTERY,SIMPLE,APARTMENT,True,True,12.0,2001.0,10,29,0
10,20,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,True,False,18.0,2001.0,2,26,14
11,17,0460,BATTERY,SIMPLE,RESIDENCE,True,False,8.0,2001.0,9,20,11
12,18,0820,THEFT,$500 AND UNDER,STREET,False,False,8.0,2001.0,3,1,15
13,2089,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,15.0,2001.0,11,2,19
14,1123,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,19.0,2001.0,1,10,18
15,1918,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),False,False,16.0,2001.0,2,24,22
16,32,0560,ASSAULT,SIMPLE,APARTMENT,False,True,14.0,2001.0,5,19,14
17,63,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2001.0,1,6,21
18,132,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,12.0,2001.0,3,30,18
19,1133,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,10.0,2001.0,11,9,11
20,552,0810,THEFT,OVER $500,STREET,False,False,18.0,2001.0,1,18,12
21,723,0820,THEFT,$500 AND UNDER,STREET,False,False,18.0,2001.0,3,1,17
22,382,0460,BATTERY,SIMPLE,SIDEWALK,False,False,19.0,2001.0,11,19,20
23,2151,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,True,False,1.0,2001.0,1,24,16
24,1697,2027,NARCOTICS,POSS: CRACK,STREET,True,False,11.0,2001.0,1,28,22
