,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,2191307,0810,THEFT,OVER $500,STREET,False,False,12.0,2007.0,9,17,9
1,2240523,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,17.0,2007.0,3,25,1
2,2203809,0810,THEFT,OVER $500,STREET,False,False,1.0,2007.0,8,3,18
3,2240040,0460,BATTERY,SIMPLE,STREET,True,False,8.0,2007.0,3,27,11
4,2190460,0460,BATTERY,SIMPLE,RESIDENCE,False,False,7.0,2007.0,4,16,22
5,2227430,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2.0,2007.0,7,29,11
6,2251686,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,4.0,2007.0,4,19,12
7,2194256,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,25.0,2007.0,1,17,23
8,2251229,0560,ASSAULT,SIMPLE,SIDEWALK,True,False,16.0,2007.0,7,29,20
9,2253485,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,8.0,2007.0,5,6,15
10,2251820,0820,THEFT,$500 AND UNDER,STREET,False,False,12.0,2007.0,10,28,21
11,2208548,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,9.0,2007.0,2,26,22
12,2180912,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,3.0,2007.0,5,22,23
13,2240402,0560,ASSAULT,SIMPLE,STREET,False,False,4.0,2007.0,5,27,16
14,2182966,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,11.0,2007.0,4,17,22
15,2197910,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,8.0,2007.0,1,1,0
16,2182838,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,5.0,2007.0,1,27,16
17,2203379,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,6.0,2007.0,3,20,13
18,2180446,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,8.0,2007.0,5,28,21
19,2258601,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,7.0,2007.0,10,13,3
20,2251266,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,False,False,10.0,2007.0,1,13,18
21,2190221,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,15.0,2007.0,5,12,21
22,2251230,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,7.0,2007.0,4,26,19
23,2251216,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,12.0,2007.0,7,11,1
24,2236818,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,False,25.0,2007.0,1,26,8
