,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,3797400,0810,THEFT,OVER $500,STREET,False,False,12.0,2011.0,2,13,0
1,3797132,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,7.0,2011.0,4,14,23
2,3797202,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,4.0,2011.0,7,8,0
3,3808987,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,24.0,2011.0,5,8,17
4,3809037,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,11.0,2011.0,1,27,20
5,3809340,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,15.0,2011.0,11,9,21
6,3810569,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,6.0,2011.0,10,6,11
7,3809061,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,11.0,2011.0,6,8,11
8,3810483,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,True,False,1.0,2011.0,1,19,21
9,3797171,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,True,False,7.0,2011.0,3,21,16
10,3797033,0820,THEFT,$500 AND UNDER,STREET,False,False,2.0,2011.0,3,8,19
11,6125201,1330,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),False,False,8.0,2011.0,7,5,20
12,3797173,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,22.0,2011.0,11,1,22
13,3808937,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,6.0,2011.0,5,28,13
14,3809258,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,3.0,2011.0,9,4,10
15,3810805,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,15.0,2011.0,11,2,14
16,3808558,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,11.0,2011.0,7,30,20
17,3797174,0460,BATTERY,SIMPLE,SIDEWALK,False,False,14.0,2011.0,5,11,15
18,3797170,0560,ASSAULT,SIMPLE,STREET,False,False,6.0,2011.0,8,19,13
19,3797182,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,16.0,2011.0,7,13,9
20,3808389,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2011.0,8,24,13
21,3809092,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,25.0,2011.0,6,4,19
22,3797176,0460,BATTERY,SIMPLE,OTHER,False,False,8.0,2011.0,9,13,14
23,3796195,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,4.0,2011.0,11,1,1
24,6124169,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,8.0,2011.0,2,5,19
